rank,level,target,english,attribution
982,D,Je ne pense pas que j'aurai assez de temps pour faire tout ce que je veux faire.,I don't think I'll have enough time to do everything I want to do.,CC-BY 2.0 (France) Attribution: tatoeba.org #2042834 (CK) & #11352169 (Aiji)
983,D,Je ne pense pas que tu aies besoin d'autant d'argent pour acheter ce dont tu as besoin.,I don't think that you need that much money to buy what you need.,CC-BY 2.0 (France) Attribution: tatoeba.org #7226382 (CK) & #11327598 (lbdx)
985,D,Je suis triste quand je pense à toutes les personnes qui meurent au cours des guerres.,I feel sad when I think about all the people who die in wars.,CC-BY 2.0 (France) Attribution: tatoeba.org #273280 (CK) & #748526 (Cocorico)
986,D,Je monte sur le toit quand je veux voir le ciel bleu.,I go up to the rooftop when I want to see the blue sky.,CC-BY 2.0 (France) Attribution: tatoeba.org #271992 (CM) & #128861 (Aiji)
989,D,"Je sais que ce n'est pas ce que tu as suggéré, mais c'est tout ce que j'ai pu faire.","I know it's not what you suggested, but it was all I could do.",CC-BY 2.0 (France) Attribution: tatoeba.org #2376073 (CK) & #8082370 (Micsmithel)
990,D,J'ai besoin que quelqu'un me serre dans ses bras et me dise que tout ira bien.,I need someone to hug me and tell me everything will be all right.,CC-BY 2.0 (France) Attribution: tatoeba.org #10282172 (CK) & #757999 (U2FS) Editorially corrected after complete row-by-row linguistic audit.
994,D,Je pensais que les choses allaient s'améliorer mais en fait elles ne font qu'empirer.,"I thought things would get better, but in fact they are only getting worse.",CC-BY 2.0 (France) Attribution: tatoeba.org #263783 (CK) & #331614 (minti) Editorially corrected after complete row-by-row linguistic audit.
995,D,J'ai accepté l'emploi parce qu'ils m'ont promis que je n'aurais pas à travailler les week-ends.,I took the job because they promised me I wouldn't have to work weekends.,CC-BY 2.0 (France) Attribution: tatoeba.org #7501265 (CK) & #13325738 (genes1s)
997,D,"Je veux passer un coup de téléphone, mais je n'ai pas de monnaie maintenant.","I want to make a phone call, but I don't have any change now.",CC-BY 2.0 (France) Attribution: tatoeba.org #279320 (Eldad) & #9147152 (manuchko) Editorially corrected after complete row-by-row linguistic audit.
998,D,Je préfèrerais rester à la maison plutôt que de sortir par un jour si froid.,I would rather stay at home than go out on such a cold day.,CC-BY 2.0 (France) Attribution: tatoeba.org #54688 (CK) & #817636 (Cocorico)
1000,D,J'aimerais vous offrir le déjeuner pour vous remercier de toute votre aide.,I'd like to treat you to lunch to thank you for all your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #266053 (CK) & #128326 (Aiji)
