front,frequency,reason
خبریں,10245,insufficient_lexical_support
سیریز,9568,insufficient_lexical_support
ٹیسٹ,9559,insufficient_lexical_support
آئے,9322,insufficient_lexical_support
عالمی,9318,insufficient_lexical_support
حوالے,9300,insufficient_lexical_support
کبہی,8927,insufficient_lexical_support
دینے,8818,insufficient_lexical_support
آنے,8769,insufficient_lexical_support
کرتی,8665,insufficient_lexical_support
ایسی,8556,insufficient_lexical_support
سید,8359,insufficient_lexical_support
تعمیر,8317,insufficient_lexical_support
بہارتی,8144,insufficient_lexical_support
ذریعے,8140,insufficient_lexical_support
بنانے,8052,insufficient_lexical_support
دیتے,7977,insufficient_lexical_support
مشرف,7877,insufficient_lexical_support
تہیں,7745,insufficient_lexical_support
لاکہ,7711,insufficient_lexical_support
پابندی,7664,insufficient_lexical_support
ڈی,7662,insufficient_lexical_support
پوری,7528,insufficient_lexical_support
لیں,7420,insufficient_lexical_support
ایس,7301,insufficient_lexical_support
نئے,7289,insufficient_lexical_support
والوں,7248,insufficient_lexical_support
مل,7226,insufficient_lexical_support
جیسے,7159,no_safe_learner_meaning
اسمبلی,7049,insufficient_lexical_support
دیئے,7006,insufficient_lexical_support
اعلان,6976,insufficient_lexical_support
تحت,6919,insufficient_lexical_support
ابہی,6786,insufficient_lexical_support
آف,6752,insufficient_lexical_support
امدادی,6748,insufficient_lexical_support
لیگ,6693,insufficient_lexical_support
بہر,6633,insufficient_lexical_support
چکے,6570,insufficient_lexical_support
حالات,6537,insufficient_lexical_support
تکنیکی,6529,insufficient_lexical_support
لگا,6494,insufficient_lexical_support
سلسلے,6491,insufficient_lexical_support
تازہ ترین,6469,insufficient_lexical_support
رکہنے,6429,insufficient_lexical_support
گرفتار,6428,insufficient_lexical_support
بڑہ,6419,insufficient_lexical_support
رنز,6280,insufficient_lexical_support
اقبال,6264,insufficient_lexical_support
پروگرام,6197,insufficient_lexical_support
نمبر,6107,insufficient_lexical_support
لی,6097,insufficient_lexical_support
رپورٹ,6039,insufficient_lexical_support
رکہا,6023,insufficient_lexical_support
اچہی,5906,insufficient_lexical_support
خطاب,5872,insufficient_lexical_support
ہاتہ,5860,insufficient_lexical_support
سرکاری,5791,insufficient_lexical_support
کہتے,5722,insufficient_lexical_support
سکیں,5715,insufficient_lexical_support
بورڈ,5620,insufficient_lexical_support
باوجود,5583,insufficient_lexical_support
چکا,5540,insufficient_lexical_support
حسن,5403,insufficient_lexical_support
بنایا,5383,insufficient_lexical_support
ڈیم,5350,insufficient_lexical_support
صوبائی,5348,insufficient_lexical_support
متاثرہ,5289,insufficient_lexical_support
دیکہ,5191,insufficient_lexical_support
متاثرین,5152,insufficient_lexical_support
کانفرنس,5120,insufficient_lexical_support
ادارے,5116,insufficient_lexical_support
مولانا,5090,insufficient_lexical_support
اداروں,5061,insufficient_lexical_support
میر,5046,insufficient_lexical_support
پہنچ,4983,insufficient_lexical_support
پیداوار,4983,insufficient_lexical_support
کیے,4976,insufficient_lexical_support
کونسل,4975,insufficient_lexical_support
صورتحال,4933,insufficient_lexical_support
کہلاڑی,4929,insufficient_lexical_support
پروفیسر,4915,insufficient_lexical_support
درج,4899,insufficient_lexical_support
چاہتے,4858,insufficient_lexical_support
چودہری,4853,insufficient_lexical_support
دیتا,4845,insufficient_lexical_support
رکہتے,4826,insufficient_lexical_support
معاشی,4819,insufficient_lexical_support
قیام,4801,insufficient_lexical_support
ڈالر,4749,insufficient_lexical_support
بہترین,4740,insufficient_lexical_support
زیر,4719,insufficient_lexical_support
وزیراعظم,4705,insufficient_lexical_support
زخمی,4700,insufficient_lexical_support
شخصیت,4699,insufficient_lexical_support
متاثر,4625,insufficient_lexical_support
کہلاڑیوں,4614,insufficient_lexical_support
سکول,4546,insufficient_lexical_support
سری,4533,insufficient_lexical_support
نیوز,4524,insufficient_lexical_support
حیثیت,4516,insufficient_lexical_support
کہیں,4506,insufficient_lexical_support
این,4481,insufficient_lexical_support
ملا,4477,insufficient_lexical_support
ایف,4414,insufficient_lexical_support
چل,4407,insufficient_lexical_support
اقدامات,4396,insufficient_lexical_support
زائد,4350,insufficient_lexical_support
شرح,4343,insufficient_lexical_support
تقریب,4342,insufficient_lexical_support
چاہیے,4315,insufficient_lexical_support
آتا,4308,insufficient_lexical_support
تعالی,4301,insufficient_lexical_support
لینے,4300,insufficient_lexical_support
دیکہا,4284,insufficient_lexical_support
اچہا,4277,insufficient_lexical_support
رہیں,4262,insufficient_lexical_support
گئیں,4229,insufficient_lexical_support
جمع,4222,insufficient_lexical_support
باتیں,4214,insufficient_lexical_support
آؤٹ,4201,insufficient_lexical_support
سالہ,4068,insufficient_lexical_support
رہتے,4025,insufficient_lexical_support
سیکرٹری,4013,insufficient_lexical_support
ارکان,4005,insufficient_lexical_support
رقم,4004,insufficient_lexical_support
آتے,3999,insufficient_lexical_support
چیئرمین,3968,insufficient_lexical_support
بنائے,3947,insufficient_lexical_support
رہنے,3906,insufficient_lexical_support
عرصہ,3902,insufficient_lexical_support
شوکت,3856,insufficient_lexical_support
یونیورسٹی,3842,insufficient_lexical_support
شائع,3840,insufficient_lexical_support
آتی,3829,insufficient_lexical_support
انضمام,3807,insufficient_lexical_support
برقرار,3776,insufficient_lexical_support
چہوٹے,3775,insufficient_lexical_support
حکام,3771,insufficient_lexical_support
ملے,3726,insufficient_lexical_support
رکہ,3708,insufficient_lexical_support
نامہ نگار,3660,insufficient_lexical_support
سربراہ,3652,insufficient_lexical_support
اتنی,3650,insufficient_lexical_support
پورے,3642,insufficient_lexical_support
بش,3641,insufficient_lexical_support
الیکشن,3632,insufficient_lexical_support
منعقد,3631,insufficient_lexical_support
قائد,3630,insufficient_lexical_support
کہانے,3630,insufficient_lexical_support
تبدیلی,3627,insufficient_lexical_support
مشتمل,3603,insufficient_lexical_support
رہتا,3599,insufficient_lexical_support
بہٹو,3584,insufficient_lexical_support
فلموں,3581,insufficient_lexical_support
بین الاقوامی,3578,insufficient_lexical_support
آپریشن,3566,insufficient_lexical_support
وفاقی,3506,insufficient_lexical_support
دیکہنے,3496,insufficient_lexical_support
تعلیمی,3495,insufficient_lexical_support
پڑے,3493,insufficient_lexical_support
ٹیکس,3488,insufficient_lexical_support
حیدر,3486,insufficient_lexical_support
فروخت,3486,insufficient_lexical_support
بہرپور,3476,insufficient_lexical_support
نواز,3453,insufficient_lexical_support
اچہے,3448,insufficient_lexical_support
محفوظ,3438,insufficient_lexical_support
تعاون,3403,insufficient_lexical_support
نتیجے,3397,insufficient_lexical_support
دیتی,3389,insufficient_lexical_support
بحالی,3387,insufficient_lexical_support
رکن,3378,insufficient_lexical_support
فیصلے,3357,insufficient_lexical_support
فرمایا,3354,insufficient_lexical_support
لیتے,3335,insufficient_lexical_support
ٹاؤن,3326,insufficient_lexical_support
پالیسی,3309,insufficient_lexical_support
اپوزیشن,3280,insufficient_lexical_support
معاشرے,3240,insufficient_lexical_support
دہماکہ,3235,insufficient_lexical_support
فروغ,3230,insufficient_lexical_support
زرعی,3217,insufficient_lexical_support
شمار,3217,insufficient_lexical_support
چہوڑ,3200,insufficient_lexical_support
فائنل,3155,insufficient_lexical_support
عملی,3135,insufficient_lexical_support
ہاکی,3135,insufficient_lexical_support
مطالبہ,3132,insufficient_lexical_support
چلا,3123,insufficient_lexical_support
چیف,3107,insufficient_lexical_support
نمائندہ,3078,insufficient_lexical_support
دودہ,3064,insufficient_lexical_support
شعبہ,3051,insufficient_lexical_support
ہاتہوں,3041,insufficient_lexical_support
خالد,3040,insufficient_lexical_support
ملین,3032,insufficient_lexical_support
کہیلوں,3019,insufficient_lexical_support
مقابلے,3014,insufficient_lexical_support
رہتی,2964,insufficient_lexical_support
اکرم,2958,insufficient_lexical_support
نمایاں,2927,insufficient_lexical_support
نیٹ,2918,insufficient_lexical_support
ملنے,2911,insufficient_lexical_support
ذمہ دار,2909,insufficient_lexical_support
طریقے,2909,insufficient_lexical_support
یونین,2909,insufficient_lexical_support
سردار,2904,insufficient_lexical_support
ایل,2900,insufficient_lexical_support
دورے,2880,insufficient_lexical_support
طلبہ,2869,insufficient_lexical_support
چاہتا,2859,insufficient_lexical_support
پائی,2851,insufficient_lexical_support
دیر,2842,insufficient_lexical_support
سماجی,2838,insufficient_lexical_support
ریکارڈ,2835,insufficient_lexical_support
مالی,2819,insufficient_lexical_support
تلاش,2816,insufficient_lexical_support
اثرات,2806,insufficient_lexical_support
ڈال,2802,insufficient_lexical_support
ضلعی,2801,insufficient_lexical_support
اہتمام,2792,insufficient_lexical_support
پڑا,2788,insufficient_lexical_support
آئیں,2783,insufficient_lexical_support
پڑتا,2779,insufficient_lexical_support
اینڈ,2778,insufficient_lexical_support
گورنر,2777,insufficient_lexical_support
وسائل,2770,insufficient_lexical_support
گہنٹے,2762,insufficient_lexical_support
آنکہوں,2754,insufficient_lexical_support
فراہمی,2747,insufficient_lexical_support
ڈے,2743,insufficient_lexical_support
طویل,2728,insufficient_lexical_support
وسطی,2722,insufficient_lexical_support
ذیل,2684,insufficient_lexical_support
مجموعی,2683,insufficient_lexical_support
ہسپتال,2681,insufficient_lexical_support
سنگہ,2677,insufficient_lexical_support
فنکار,2677,insufficient_lexical_support
آٹہ,2657,insufficient_lexical_support
میران,2651,insufficient_lexical_support
مجلس,2647,insufficient_lexical_support
مشکلات,2646,insufficient_lexical_support
کوچ,2632,insufficient_lexical_support
قبائلی,2630,insufficient_lexical_support
پریس,2628,insufficient_lexical_support
لگتا,2628,insufficient_lexical_support
رکہی,2627,insufficient_lexical_support
نیشنل,2625,insufficient_lexical_support
منصوبے,2622,insufficient_lexical_support
دلچسپی,2617,insufficient_lexical_support
رسد,2616,insufficient_lexical_support
سعید,2615,insufficient_lexical_support
چلے,2613,insufficient_lexical_support
اخراجات,2612,insufficient_lexical_support
مار,2605,insufficient_lexical_support
سائٹ,2604,insufficient_lexical_support
ووٹ,2599,insufficient_lexical_support
تجویز,2590,insufficient_lexical_support
گورنمنٹ,2585,insufficient_lexical_support
ورلڈ,2567,insufficient_lexical_support
کرنی,2563,insufficient_lexical_support
سرگرمیوں,2558,insufficient_lexical_support
پہنچا,2548,insufficient_lexical_support
کیمپ,2546,insufficient_lexical_support
دکہائی,2544,insufficient_lexical_support
ہزاروں,2540,insufficient_lexical_support
اسٹاف,2533,insufficient_lexical_support
فرق,2529,insufficient_lexical_support
اننگز,2527,insufficient_lexical_support
رکہے,2523,insufficient_lexical_support
جہوٹ,2514,insufficient_lexical_support
پوزیشن,2511,insufficient_lexical_support
اضافے,2510,insufficient_lexical_support
بننے,2509,insufficient_lexical_support
سروس,2507,insufficient_lexical_support
عائد,2506,insufficient_lexical_support
سمجہ,2503,insufficient_lexical_support
کردہ,2502,insufficient_lexical_support
قیمتوں,2497,insufficient_lexical_support
الطاف,2481,insufficient_lexical_support
کمپنی,2481,insufficient_lexical_support
کمیشن,2481,insufficient_lexical_support
رکہیں,2480,insufficient_lexical_support
اندازہ,2455,insufficient_lexical_support
نتائج,2455,insufficient_lexical_support
تباہی,2450,insufficient_lexical_support
سٹی,2444,insufficient_lexical_support
طالب,2424,insufficient_lexical_support
ٹیلی,2411,insufficient_lexical_support
جنہوں,2408,no_safe_learner_meaning
میڈیا,2404,insufficient_lexical_support
لگایا,2391,insufficient_lexical_support
مظفر,2388,insufficient_lexical_support
کیں,2387,insufficient_lexical_support
مجہ,2386,insufficient_lexical_support
مارکیٹ,2372,insufficient_lexical_support
بیرونی,2370,insufficient_lexical_support
کورٹ,2358,insufficient_lexical_support
ایچ,2355,insufficient_lexical_support
نکل,2346,insufficient_lexical_support
مقابلہ,2344,insufficient_lexical_support
شعبے,2342,insufficient_lexical_support
گہروں,2341,insufficient_lexical_support
مقام,2341,insufficient_lexical_support
ڈائریکٹر,2338,insufficient_lexical_support
گرد,2337,insufficient_lexical_support
کرائیں,2333,insufficient_lexical_support
رانا,2329,insufficient_lexical_support
میڈیکل,2322,insufficient_lexical_support
اہل,2316,insufficient_lexical_support
تیزی,2316,insufficient_lexical_support
کمپنیاں,2316,insufficient_lexical_support
کیو,2306,insufficient_lexical_support
رکہتا,2298,insufficient_lexical_support
اطلاعات,2294,insufficient_lexical_support
شریک,2293,insufficient_lexical_support
بنے,2285,insufficient_lexical_support
صدارت,2283,insufficient_lexical_support
سرمایہ کاری,2279,insufficient_lexical_support
ریلیف,2277,insufficient_lexical_support
سلیم,2277,insufficient_lexical_support
اپیل,2272,insufficient_lexical_support
رکہنا,2272,insufficient_lexical_support
میچوں,2272,insufficient_lexical_support
بنائی,2269,insufficient_lexical_support
حصول,2255,insufficient_lexical_support
لینڈ,2253,insufficient_lexical_support
جسٹس,2252,insufficient_lexical_support
برادری,2247,insufficient_lexical_support
خیالات,2242,insufficient_lexical_support
ادہر,2236,insufficient_lexical_support
حامل,2227,insufficient_lexical_support
پایا,2220,insufficient_lexical_support
پیچہے,2218,insufficient_lexical_support
علامہ,2216,insufficient_lexical_support
مہم,2216,insufficient_lexical_support
ٹریفک,2213,insufficient_lexical_support
جنس,2201,insufficient_lexical_support
ٹیکنالوجی,2198,insufficient_lexical_support
طارق,2197,insufficient_lexical_support
لکہا,2196,insufficient_lexical_support
چہوٹی,2190,insufficient_lexical_support
افسران,2189,insufficient_lexical_support
ٹہیک,2185,insufficient_lexical_support
ٹیپ,2178,insufficient_lexical_support
اٹہا,2177,insufficient_lexical_support
معاملے,2177,insufficient_lexical_support
کرائے,2176,insufficient_lexical_support
برائے,2171,insufficient_lexical_support
حکومتی,2168,insufficient_lexical_support
طالبات,2158,insufficient_lexical_support
اعزاز,2155,insufficient_lexical_support
صدیقی,2155,insufficient_lexical_support
ترقیاتی,2153,insufficient_lexical_support
فائرنگ,2149,insufficient_lexical_support
رپورٹر,2145,insufficient_lexical_support
ٹورنامنٹ,2145,insufficient_lexical_support
معلومات,2142,insufficient_lexical_support
سارے,2126,insufficient_lexical_support
ضمن,2120,insufficient_lexical_support
موقف,2114,insufficient_lexical_support
مثبت,2113,insufficient_lexical_support
جے,2106,insufficient_lexical_support
یو,2106,insufficient_lexical_support
زیادہ تر,2103,insufficient_lexical_support
مہیا,2098,insufficient_lexical_support
پائے,2096,insufficient_lexical_support
گر,2096,insufficient_lexical_support
منتقل,2087,insufficient_lexical_support
پہنچے,2085,insufficient_lexical_support
رہنماؤں,2085,insufficient_lexical_support
کہیلنے,2077,insufficient_lexical_support
سکی,2076,insufficient_lexical_support
کہانا,2073,insufficient_lexical_support
ڈوب,2067,insufficient_lexical_support
حاجی,2065,insufficient_lexical_support
قریشی,2064,insufficient_lexical_support
بنک,2062,insufficient_lexical_support
ضیاء,2058,insufficient_lexical_support
کلک,2055,insufficient_lexical_support
ہاؤس,2048,insufficient_lexical_support
حقیقی,2038,insufficient_lexical_support
فلمی,2034,insufficient_lexical_support
چوہدری,2033,insufficient_lexical_support
نبی,2029,insufficient_lexical_support
حصے,2025,insufficient_lexical_support
توازن,2023,insufficient_lexical_support
لگانے,2018,insufficient_lexical_support
مریضوں,2018,insufficient_lexical_support
بدہ,2015,insufficient_lexical_support
یقینی,2008,insufficient_lexical_support
دوسروں,2007,insufficient_lexical_support
صوبوں,2005,insufficient_lexical_support
لاکہوں,1994,insufficient_lexical_support
وڈیو,1994,insufficient_lexical_support
ڈرا,1994,no_safe_learner_meaning
بالا,1993,insufficient_lexical_support
کیجئے,1993,insufficient_lexical_support
لائن,1991,insufficient_lexical_support
لحاظ,1988,insufficient_lexical_support
لگی,1986,insufficient_lexical_support
اتنے,1981,insufficient_lexical_support
نکال,1974,insufficient_lexical_support
دیکہتے,1965,insufficient_lexical_support
کرانے,1962,insufficient_lexical_support
بسیں,1960,insufficient_lexical_support
رکہتی,1959,insufficient_lexical_support
جیسی,1958,no_safe_learner_meaning
فرد,1952,insufficient_lexical_support
دریافت,1940,insufficient_lexical_support
پینے,1939,insufficient_lexical_support
شہریوں,1937,insufficient_lexical_support
فلسطینی,1936,insufficient_lexical_support
ڈاٹ,1933,insufficient_lexical_support
عرصے,1928,insufficient_lexical_support
وزیراعلی,1928,insufficient_lexical_support
زہریلی,1921,insufficient_lexical_support
کاموں,1919,insufficient_lexical_support
بٹ,1908,insufficient_lexical_support
کروں,1908,insufficient_lexical_support
بہاری,1906,insufficient_lexical_support
مصارف,1906,insufficient_lexical_support
اسرائیلی,1902,insufficient_lexical_support
شمالی,1899,insufficient_lexical_support
محدود,1896,insufficient_lexical_support
معاشیات,1896,insufficient_lexical_support
کین,1893,insufficient_lexical_support
ملتا,1890,insufficient_lexical_support
ایشن,1886,insufficient_lexical_support
ضروریات,1884,insufficient_lexical_support
جدوجہد,1881,insufficient_lexical_support
انڈین,1879,insufficient_lexical_support
ملزمان,1875,insufficient_lexical_support
سمجہتے,1874,insufficient_lexical_support
جذبات,1871,insufficient_lexical_support
لہریں,1867,insufficient_lexical_support
دراندازی,1865,insufficient_lexical_support
بطور,1863,insufficient_lexical_support
مرتب,1861,insufficient_lexical_support
بہوت,1858,insufficient_lexical_support
ہونی,1857,insufficient_lexical_support
سینئر,1855,insufficient_lexical_support
صنعتی,1854,insufficient_lexical_support
پچہلے,1852,insufficient_lexical_support
وڈ,1852,insufficient_lexical_support
متعلقہ,1849,insufficient_lexical_support
ریلوے,1846,insufficient_lexical_support
منڈی,1844,insufficient_lexical_support
پڑ,1842,insufficient_lexical_support
فیڈریشن,1839,insufficient_lexical_support
چاہتی,1838,insufficient_lexical_support
درآمد,1838,insufficient_lexical_support
مقرر,1837,insufficient_lexical_support
دہماکے,1835,insufficient_lexical_support
غربت,1832,insufficient_lexical_support
ہمراہ,1827,insufficient_lexical_support
بیمہ,1823,insufficient_lexical_support
مرزا,1822,insufficient_lexical_support
رشید,1818,insufficient_lexical_support
ہمہ جہت,1815,insufficient_lexical_support
بدل,1810,insufficient_lexical_support
قدرتی,1807,insufficient_lexical_support
ہائی,1807,insufficient_lexical_support
انور,1800,insufficient_lexical_support
جسمانی,1796,insufficient_lexical_support
موثر,1796,insufficient_lexical_support
ندیم,1794,insufficient_lexical_support
فاروق,1786,insufficient_lexical_support
بہتری,1781,insufficient_lexical_support
فلمیں,1776,insufficient_lexical_support
روزگار,1768,insufficient_lexical_support
سویڈش,1768,insufficient_lexical_support
فرائض,1765,insufficient_lexical_support
فنڈ,1762,insufficient_lexical_support
میٹر,1760,insufficient_lexical_support
مسٹر,1758,no_safe_learner_meaning
زلزلہ زدگان,1751,insufficient_lexical_support
پوچہا,1742,insufficient_lexical_support
صوبے,1735,insufficient_lexical_support
کہنے,1732,insufficient_lexical_support
پہلو,1728,insufficient_lexical_support
مختتم,1724,insufficient_lexical_support
وائرس,1721,insufficient_lexical_support
شپ,1718,insufficient_lexical_support
وسیم,1718,insufficient_lexical_support
موٹر,1715,insufficient_lexical_support
ادویات,1713,insufficient_lexical_support
وضاحت,1713,insufficient_lexical_support
ملتی,1711,insufficient_lexical_support
بجٹ,1709,insufficient_lexical_support
مرحوم,1709,insufficient_lexical_support
منافع,1706,insufficient_lexical_support
ارشد,1701,insufficient_lexical_support
لانے,1701,insufficient_lexical_support
ایٹمی,1700,insufficient_lexical_support
حکومتوں,1695,insufficient_lexical_support
سسٹم,1695,insufficient_lexical_support
طاہر,1688,insufficient_lexical_support
کارکنوں,1681,insufficient_lexical_support
ڈسٹرکٹ,1681,insufficient_lexical_support
ایکڑ,1680,insufficient_lexical_support
زبردست,1675,insufficient_lexical_support
مین,1669,insufficient_lexical_support
ملازمین,1660,insufficient_lexical_support
برسوں,1659,insufficient_lexical_support
تر,1658,insufficient_lexical_support
محبوب,1652,insufficient_lexical_support
براہ,1640,no_safe_learner_meaning
بیٹہ,1639,insufficient_lexical_support
تنظیموں,1637,insufficient_lexical_support
سکور,1631,insufficient_lexical_support
کہیلے,1626,insufficient_lexical_support
بیٹنگ,1625,insufficient_lexical_support
معاشرتی,1625,insufficient_lexical_support
راست,1623,insufficient_lexical_support
کہڑے,1622,insufficient_lexical_support
چیک,1612,insufficient_lexical_support
ایوارڈ,1609,insufficient_lexical_support
فاؤنڈیشن,1606,insufficient_lexical_support
ہوئیں,1606,insufficient_lexical_support
ناظمین,1603,insufficient_lexical_support
سڑکوں,1596,insufficient_lexical_support
دکہ,1595,insufficient_lexical_support
نسبت,1586,insufficient_lexical_support
یورپی,1585,insufficient_lexical_support
لیتا,1584,insufficient_lexical_support
سیمی,1580,insufficient_lexical_support
وصول,1577,insufficient_lexical_support
تاخیر,1576,insufficient_lexical_support
مشرقی,1575,insufficient_lexical_support
سالوں,1569,insufficient_lexical_support
کمپنیوں,1569,insufficient_lexical_support
ویسٹ,1567,insufficient_lexical_support
سول,1566,insufficient_lexical_support
توڑ,1564,insufficient_lexical_support
باب,1562,insufficient_lexical_support
منفی,1559,insufficient_lexical_support
بڑہتی,1556,insufficient_lexical_support
شدت پسند,1554,insufficient_lexical_support
نوعیت,1551,insufficient_lexical_support
شعبوں,1550,insufficient_lexical_support
پڑہ,1549,insufficient_lexical_support
خرید,1546,insufficient_lexical_support
بیماریوں,1544,insufficient_lexical_support
فارم,1541,insufficient_lexical_support
لگائے,1540,insufficient_lexical_support
انتخابی,1538,insufficient_lexical_support
پیمانے,1537,insufficient_lexical_support
اسلم,1526,insufficient_lexical_support
کوششوں,1515,insufficient_lexical_support
لیڈر,1514,insufficient_lexical_support
مرحلے,1511,insufficient_lexical_support
لیکر,1505,insufficient_lexical_support
قیمتیں,1503,insufficient_lexical_support
اعجاز,1495,insufficient_lexical_support
سوسائٹی,1494,insufficient_lexical_support
حکمران,1491,insufficient_lexical_support
انڈسٹری,1483,insufficient_lexical_support
سمجہا,1482,insufficient_lexical_support
منصوبہ بندی,1482,insufficient_lexical_support
بیرون,1480,insufficient_lexical_support
بڑہا,1476,insufficient_lexical_support
بیٹہے,1476,insufficient_lexical_support
کلاس,1476,insufficient_lexical_support
عارف,1468,insufficient_lexical_support
بخاری,1463,insufficient_lexical_support
کیس,1463,insufficient_lexical_support
وابستہ,1463,insufficient_lexical_support
اہلکار,1461,insufficient_lexical_support
سہولتیں,1458,insufficient_lexical_support
پارلیمانی,1456,insufficient_lexical_support
دہماکوں,1449,insufficient_lexical_support
پہول,1447,insufficient_lexical_support
دیے,1447,insufficient_lexical_support
فوجیوں,1446,insufficient_lexical_support
بوجہ,1445,insufficient_lexical_support
اوسط,1443,insufficient_lexical_support
بدستور,1443,insufficient_lexical_support
خاتمے,1440,insufficient_lexical_support
موومنٹ,1436,insufficient_lexical_support
ڈاکٹروں,1435,insufficient_lexical_support
جانی,1434,insufficient_lexical_support
پیش نظر,1432,insufficient_lexical_support
کرایا,1431,insufficient_lexical_support
انہی,1430,no_safe_learner_meaning
تحقیقات,1425,insufficient_lexical_support
لیاقت,1425,insufficient_lexical_support
مذکورہ,1423,insufficient_lexical_support
باتوں,1422,insufficient_lexical_support
باری,1422,insufficient_lexical_support
بلدیاتی,1422,insufficient_lexical_support
انٹرویو,1421,insufficient_lexical_support
الزامات,1420,insufficient_lexical_support
ٹیموں,1419,insufficient_lexical_support
بولنگ,1417,insufficient_lexical_support
خاں,1417,insufficient_lexical_support
پڑی,1416,insufficient_lexical_support
تعین,1416,insufficient_lexical_support
ذخائر,1412,insufficient_lexical_support
ساڑہے,1410,insufficient_lexical_support
کتنی,1410,insufficient_lexical_support
بیشتر,1408,insufficient_lexical_support
ڈگری,1406,insufficient_lexical_support
اداکار,1400,insufficient_lexical_support
جتنی,1400,insufficient_lexical_support
میسر,1400,insufficient_lexical_support
سیکورٹی,1399,insufficient_lexical_support
فنڈز,1398,insufficient_lexical_support
بڑہانے,1397,insufficient_lexical_support
پہنچنے,1395,insufficient_lexical_support
پارلیمنٹ,1394,insufficient_lexical_support
وجوہات,1392,insufficient_lexical_support
تینوں,1388,insufficient_lexical_support
ورک,1388,insufficient_lexical_support
ویسے,1388,insufficient_lexical_support
شخصیات,1387,insufficient_lexical_support
جرائم,1386,insufficient_lexical_support
نا,1386,no_safe_learner_meaning
نمائش,1386,insufficient_lexical_support
پڑہنے,1383,insufficient_lexical_support
عرفان,1383,insufficient_lexical_support
انتظامات,1382,insufficient_lexical_support
ایکشن,1382,insufficient_lexical_support
بنی,1381,insufficient_lexical_support
چاروں,1381,insufficient_lexical_support
اقدام,1379,insufficient_lexical_support
ساتہی,1374,insufficient_lexical_support
وکٹیں,1372,insufficient_lexical_support
ڈیڑہ,1371,insufficient_lexical_support
ممبر,1370,insufficient_lexical_support
تہوڑی,1367,insufficient_lexical_support
کاٹ,1362,insufficient_lexical_support
برعکس,1356,insufficient_lexical_support
انعقاد,1351,insufficient_lexical_support
نظیر,1348,insufficient_lexical_support
افراط,1346,insufficient_lexical_support
ڈپٹی,1346,insufficient_lexical_support
مسلح,1345,insufficient_lexical_support
نجات,1342,insufficient_lexical_support
راجہ,1334,insufficient_lexical_support
کاروں,1334,insufficient_lexical_support
کرائی,1332,insufficient_lexical_support
انحصار,1331,insufficient_lexical_support
کتنے,1329,insufficient_lexical_support
تاثر,1328,insufficient_lexical_support
سمندر,1328,no_safe_learner_meaning
لایا,1328,insufficient_lexical_support
پرانے,1327,insufficient_lexical_support
انسانوں,1326,insufficient_lexical_support
گاڑیوں,1325,insufficient_lexical_support
ایڈووکیٹ,1322,insufficient_lexical_support
مالیت,1321,insufficient_lexical_support
کہی,1320,insufficient_lexical_support
سیکریٹری,1319,insufficient_lexical_support
آنکہیں,1314,insufficient_lexical_support
نیو,1314,insufficient_lexical_support
چلنے,1313,insufficient_lexical_support
اہلکاروں,1312,insufficient_lexical_support
روکنے,1311,insufficient_lexical_support
