rank,front,normalized_front,en,fr,ur,definition_en,example_ar,example_en,root,related,front_token_count,front_calima_coverage,front_unanalyzed_tokens,example_token_count,example_calima_coverage,example_unanalyzed_tokens,flags,status
22,مِنْ وَقْتٍ لِآخَرَ,من وقت لآخر,from time to time / occasionally,de temps en temps / occasionnellement,وقت فوقت / کبھی کبھی,Phrase indicating that an action occurs at irregular intervals.,أَزُورُهُ مِنْ وَقْتٍ لِآخَرَ.,I visit him from time to time.,— (multiword expression; no single lexical root),"أَحْيَانًا, بَيْنَ الحِينِ وَالآخَرِ",3,1.000,,4,1.000,,,structurally_verified
23,بِغَضِّ النَّظَرِ عَنْ,بغض النظر عن,regardless of,indépendamment de,قطع نظر,Phrase used to exclude a particular factor or circumstance from consideration.,بِغَضِّ النَّظَرِ عَنِ الظُّرُوفِ.,Regardless of the circumstances.,— (multiword expression; no single lexical root),"دُونَ اعْتِبَارٍ لِـ, مَعَ ذَلِكَ",3,1.000,,4,1.000,,,structurally_verified
24,بِصِفَةٍ خَاصَّةٍ,بصفة خاصة,especially / particularly,particulièrement / spécialement,خاص طور پر,Phrase used to emphasize a specific instance or a member of a group.,أُحِبُّ الرِّيَاضَةَ، بِصِفَةٍ خَاصَّةٍ السِّبَاحَةَ.,"I love sports, especially swimming.",— (multiword expression; no single lexical root),"خُصُوصًا, لَا سِيَّمَا",2,1.000,,5,1.000,,,structurally_verified
25,مِنَ المُرَجَّحِ أَنْ,من المرجح أن,likely to / probably,probable que / vraisemblablement,غالب گمان ہے کہ,Phrase used to indicate that something is more likely true or expected to happen than not.,مِنَ المُرَجَّحِ أَنْ تُمْطِرَ اليَوْمَ.,It is likely to rain today.,— (multiword expression; no single lexical root),"مِنَ المُحْتَمَلِ أَنْ, رُبَّمَا",3,1.000,,5,1.000,,,structurally_verified
26,لَا بُدَّ أَنْ,لا بد أن,must / it is necessary that,il faut que / devoir,ہونا چاہیے کہ / لازمی ہے,Phrase used to express an absolute necessity or an inescapable conclusion.,لَا بُدَّ أَنْ نَذْهَبَ الآنَ.,We must go now.,— (multiword expression; no single lexical root),"يَجِبُ أَنْ, يَنْبَغِي أَنْ",3,1.000,,5,1.000,,,structurally_verified
27,عَلَى كُلِّ حَالٍ,على كل حال,in any case / anyway,de toute façon / quoi qu'il en soit,بہرحال,Phrase used to summarize or dismiss previous points and move on.,عَلَى كُلِّ حَالٍ، شُكْرًا لَكَ.,"Anyway, thank you.",— (multiword expression; no single lexical root),"بِأَيِّ حَالٍ, مَهْمَا كَانَ",3,1.000,,5,1.000,,,structurally_verified
28,مِنْ وَجْهَةِ نَظَرِي,من وجهة نظري,from my point of view,de mon point de vue,میری نظر میں / میرے نقطہ نظر سے,Phrase used to introduce one's personal opinion or perspective on a matter.,مِنْ وَجْهَةِ نَظَرِي، هَذَا خَطَأٌ.,"From my point of view, this is a mistake.",— (multiword expression; no single lexical root),"فِي رَأْيِي, بِالنِّسْبَةِ لِي",3,1.000,,5,1.000,,,structurally_verified
29,مِنْ نَاحِيَةٍ,من ناحية,from one side / on one hand,d'un côté / d'une part,ایک لحاظ سے,Phrase used to introduce the first part of a comparison or a multi-faceted argument.,مِنْ نَاحِيَةٍ، هِيَ جَمِيلَةٌ.,"On one hand, she is beautiful.",— (multiword expression; no single lexical root),"مِنْ جَانِبٍ, أَوَّلاً",2,1.000,,4,1.000,,,structurally_verified
30,مِنْ تِلْقَاءِ نَفْسِهِ,من تلقاء نفسه,of his own accord / spontaneously,de son propre chef / spontanément,خود بخود / اپنی مرضی سے,Phrase used to describe an action done without external pressure or invitation.,فَعَلَ ذَلِكَ مِنْ تِلْقَاءِ نَفْسِهِ.,He did that of his own accord.,— (multiword expression; no single lexical root),"تِلْقَائِيًّا, مِنْ دُونِ طَلَبٍ",3,1.000,,5,1.000,,,structurally_verified
31,بِلا شَكٍّ,بلا شك,without a doubt / certainly,sans aucun doute / certainement,بلاشبہ,Phrase used to express total certainty or conviction about a statement.,أَنْتَ مُحِقٌّ بِلا شَكٍّ.,You are right without a doubt.,— (multiword expression; no single lexical root),"يَقِينًا, تَمَامًا",2,1.000,,4,1.000,,,structurally_verified
32,بِمَا أَنَّ,بما أن,since / because / as,puisque / comme,چونکہ / اس لیے کہ,Conjunction used to introduce a known or established reason for a subsequent statement.,بِمَا أَنَّكَ هُنَا، فَلْنَذْهَبْ.,"Since you are here, let's go.",— (multiword expression; no single lexical root),"لِأَنَّ, حَيْثُ إِنَّ",2,1.000,,4,1.000,,,structurally_verified
33,عَلَى الرَّغْمِ مِنْ,على الرغم من,despite / in spite of,malgré / en dépit de,کے باوجود,Prepositional phrase used to introduce a fact that contrasts with the main clause.,نَجَحَ عَلَى الرَّغْمِ مِنَ الصُّعُوبَاتِ.,He succeeded despite the difficulties.,— (multiword expression; no single lexical root),"رَغْمَ, مَعَ أَنَّ",3,1.000,,5,1.000,,,structurally_verified
34,مَعَ ذَلِكَ,مع ذلك,nevertheless / however / even so,néanmoins / pourtant / tout de même,اس کے باوجود / پھر بھی,Phrase used to introduce a statement that contrasts with what was just said.,كَانَ مَرِيضًا، وَمَعَ ذَلِكَ جَاءَ.,"He was sick, and nevertheless he came.",— (multiword expression; no single lexical root),"لَكِنْ, رَغْمَ ذَلِكَ",2,1.000,,5,1.000,,,structurally_verified
35,مِنْ حِينٍ لِآخَرَ,من حين لآخر,from time to time / occasionally,de temps en temps,کبھی کبھی / وقت فوقت,Phrase indicating that an action occurs intermittently or not very often.,نَلْتَقِي مِنْ حِينٍ لِآخَرَ.,We meet from time to time.,— (multiword expression; no single lexical root),"أَحْيَانًا, بَيْنَ الحِينِ وَالآخَرِ",3,1.000,,4,1.000,,,structurally_verified
36,مِنْ نَاحِيَتِي,من ناحيتي,from my side / as for me,de mon côté / pour ma part,میری طرف سے,Phrase used to express one's own position or willingness in a situation.,مِنْ نَاحِيَتِي، أَنَا مُوَافِقٌ.,"As for me, I agree.",— (multiword expression; no single lexical root),"بِالنِّسْبَةِ لِي, مِنْ جَانِبِي",2,1.000,,4,1.000,,,structurally_verified
37,بِغَضِّ النَّظَرِ عَمَّا,بغض النظر عما,regardless of what,peu importe ce que / quoi qu'il en soit de,قطع نظر اس سے کہ کیا,Phrase used to indicate that the following action or fact is irrelevant to the outcome.,بِغَضِّ النَّظَرِ عَمَّا حَدَثَ.,Regardless of what happened.,— (multiword expression; no single lexical root),"مَهْمَا كَانَ, كَيْفَمَا كَانَ",3,1.000,,4,1.000,,,structurally_verified
38,فِي آخِرِ المَطَافِ,في آخر المطاف,in the end / ultimately,en fin de compte / finalement,آخرکار / انجام کار,Idiomatic phrase referring to the final result or conclusion of a process or event.,فِي آخِرِ المَطَافِ، الحَقِيقَةُ تَظْهَرُ.,"In the end, the truth appears.",— (multiword expression; no single lexical root),"أَخِيرًا, فِي النِّهَايَةِ",3,1.000,,5,1.000,,,structurally_verified
39,مِنْ شَأْنِهِ أَنْ,من شأنه أن,likely to / calculated to / which would,de nature à / susceptible de,اس کا مقصد ہے کہ / اس سے ہو سکتا ہے,Phrase indicating that an action or factor has the potential or tendency to cause a result.,هَذَا مِنْ شَأْنِهِ أَنْ يُسَاعِدَنَا.,This is likely to help us.,— (multiword expression; no single lexical root),"مِنَ المُحْتَمَلِ أَنْ, يُؤَدِّي إِلَى",3,1.000,,5,1.000,,,structurally_verified
40,بِمَا فِي ذَلِكَ,بما في ذلك,including / as well as,y compris / ainsi que,بشمول / اس سمیت,Phrase used to specify that certain items or people are part of a larger group mentioned.,الكُلُّ جَاءُوا بِمَا فِي ذَلِكَ أَحْمَدُ.,"Everyone came, including Ahmad.",— (multiword expression; no single lexical root),"مَعَ, شَامِلًا",3,1.000,,6,1.000,,,structurally_verified
41,فِيمَا يَتَعَلَّقُ بِـ,فيما يتعلق ب,with regard to / concerning,en ce qui concerne / concernant,کے متعلق / کے بارے میں,Formal phrase used to introduce a specific topic or subject of discussion.,فِيمَا يَتَعَلَّقُ بِالعَمَلِ.,With regard to the work.,— (multiword expression; no single lexical root),"بِخُصُوصِ, عَنْ",3,1.000,,3,1.000,,,structurally_verified
42,بِغَرَضِ التَّوْضِيحِ,بغرض التوضيح,for the sake of clarification,à des fins de clarification,وضاحت کی غرض سے,Phrase used when providing extra details to ensure a point is understood correctly.,أَقُولُ ذَلِكَ بِغَرَضِ التَّوْضِيحِ.,I say that for the sake of clarification.,— (multiword expression; no single lexical root),"لِلتَّوْضِيحِ, لِتَبْيِينِ",2,1.000,,4,1.000,,,structurally_verified
43,إِلَى حَدٍّ بَعِيدٍ,إلى حد بعيد,to a large extent / greatly,dans une large mesure / grandement,کافی حد تک,Phrase indicating that a statement is true to a high degree or a significant distance.,نَجَحْنَا إِلَى حَدٍّ بَعِيدٍ.,We succeeded to a large extent.,— (multiword expression; no single lexical root),"كَثِيرًا جِدًّا, تَمَامًا",3,1.000,,4,1.000,,,structurally_verified
44,مِنْ قِبَلِ البَعْضِ,من قبل البعض,by some / on the part of some,par certains / de la part de certains,بعض کی طرف سے,Phrase used when an action is attributed to an unspecified group of people.,هُنَاكَ اِعْتِرَاضٌ مِنْ قِبَلِ البَعْضِ.,There is an objection by some.,— (multiword expression; no single lexical root),"مِنْ طَرَفِ البَعْضِ, بَعْضُ النَّاسِ",3,1.000,,5,1.000,,,structurally_verified
45,مِنَ الصَّعْبِ أَنْ,من الصعب أن,it is difficult to,il est difficile de,مشکل ہے کہ,Phrase used to indicate that a specific action is hard or unlikely to be achieved.,مِنَ الصَّعْبِ أَنْ تَنْسَى.,It is difficult to forget.,— (multiword expression; no single lexical root),"لَيْسَ مِنَ السَّهْلِ أَنْ, يَصْعُبُ أَنْ",3,1.000,,4,1.000,,,structurally_verified
46,عَلَى العَكْسِ تَمَامًا,على العكس تماما,quite the opposite / on the contrary,tout au contraire / bien au contraire,اس کے بالکل برعکس,Phrase used to emphasize that the reality is the exact opposite of what was suggested.,هُوَ لَيْسَ حَزِينًا، عَلَى العَكْسِ تَمَامًا.,He is not sad; quite the opposite.,— (multiword expression; no single lexical root),"بِالعَكْسِ, بِالمُقَابِلِ",3,1.000,,6,1.000,,,structurally_verified
47,فِي هَذَا الصَّدَدِ,في هذا الصدد,in this regard / in this context,à cet égard / dans ce contexte,اس سلسلے میں,Phrase used to connect a statement to the specific topic currently being discussed.,وَفِي هَذَا الصَّدَدِ، نَقُولُ...,"And in this regard, we say...",— (multiword expression; no single lexical root),"فِي هَذَا الإِطَارِ, بِهَذَا الخُصُوصِ",3,1.000,,4,1.000,,,structurally_verified
48,بِدُونِ أَدْنَى شَكٍّ,بدون أدنى شك,without the slightest doubt,sans le moindre doute,بغیر کسی شک و شبہ کے,Emphatic phrase used to express absolute and unquestionable certainty.,هُوَ البَطَلُ بِدُونِ أَدْنَى شَكٍّ.,He is the hero without the slightest doubt.,— (multiword expression; no single lexical root),"يَقِينًا تَمَامًا, لَا رَيْبَ فِيهِ",3,1.000,,5,1.000,,,structurally_verified
49,مِنْ حَيْثُ المَبْدَأِ,من حيث المبدأ,in principle / theoretically,en principe / en théorie,اصولی طور پر,"Phrase used to indicate agreement with the basic idea of something, even if details are not yet settled.",أَنَا مُوَافِقٌ مِنْ حَيْثُ المَبْدَأِ.,I agree in principle.,— (multiword expression; no single lexical root),"مَبْدَئِيًّا, نَظَرِيًّا",3,1.000,,5,1.000,,,structurally_verified
50,عَلَى كُلٍّ,على كل,anyway / regardless,de toute façon / quoi qu'il en soit,بہرحال,"Shortened version of 'ala kulli hal', used to dismiss details and move to a conclusion.",عَلَى كُلٍّ، أَنَا ذَاهِبٌ.,"Anyway, I am going.",— (multiword expression; no single lexical root),"بِأَيِّ حَالٍ, مَهْمَا كَانَ",2,1.000,,4,1.000,,,structurally_verified
51,فِي المَسْتَقْبَلِ,في المستقبل,in the future,à l'avenir / dans le futur,مستقبل میں / آنے والے وقت میں,Temporal phrase referring to the time that is yet to come.,سَأُسَافِرُ فِي المَسْتَقْبَلِ.,I will travel in the future.,— (multiword expression; no single lexical root),"قَرِيبًا, لَاحِقًا",2,1.000,,3,1.000,,,structurally_verified
52,لَا سِيَّمَا أَنَّ,لا سيما أن,especially since / particularly because,d'autant plus que / surtout que,خاص طور پر اس لیے کہ,Compound phrase used to emphasize a reason or cause for a statement.,هُوَ مَاهِرٌ، لَا سِيَّمَا أَنَّهُ تَدَرَّبَ كَثِيرًا.,"He is skilled, especially since he trained a lot.",— (multiword expression; no single lexical root),"خُصُوصًا وَأَنَّ, لِأَنَّ",3,1.000,,7,1.000,,,structurally_verified
53,مِنَ الضَّرُورِيِّ أَنْ,من الضروري أن,it is necessary to,il est nécessaire de,ضروری ہے کہ,Phrase used to indicate that a specific action is required or essential.,مِنَ الضَّرُورِيِّ أَنْ تَدْرُسَ.,It is necessary that you study.,— (multiword expression; no single lexical root),"يَجِبُ أَنْ, يَنْبَغِي أَنْ",3,1.000,,4,1.000,,,structurally_verified
54,بِمُجَرَّدِ أَنْ,بمجرد أن,as soon as / once,dès que / aussitôt que,جیسے ہی,Conjunction indicating that one action will occur immediately after another.,بِمُجَرَّدِ أَنْ أَصِلَ، سَأَتَّصِلُ بِكَ.,"As soon as I arrive, I will call you.",— (multiword expression; no single lexical root),"حَالَمَا, فَوْرَ",2,1.000,,5,1.000,,,structurally_verified
55,عَلَى نَحْوٍ,على نحو,in a way / in a manner,d'une manière / d'une façon,اس طرح سے,Phrase used to describe the method or style in which an action is performed.,هُوَ يَعْمَلُ عَلَى نَحْوٍ جَيِّدٍ.,He works in a good manner.,— (multiword expression; no single lexical root),"بِشَكْلٍ, بِطَرِيقَةٍ",2,1.000,,5,1.000,,,structurally_verified
56,مِنْ وِجْهَةِ نَظَرٍ,من وجهة نظر,from a perspective / from a point of view,d'un point de vue,ایک نقطہ نظر سے,Phrase introducing a specific angle or way of looking at a subject.,مِنْ وِجْهَةِ نَظَرٍ اقْتِصَادِيَّةٍ.,From an economic perspective.,— (multiword expression; no single lexical root),"مِنْ مَنْظُورِ, بِالنِّسْبَةِ لِـ",3,1.000,,4,1.000,,,structurally_verified
57,بِالمُقَابِلِ لِـ,بالمقابل ل,in contrast to / compared with,par rapport à / contrairement à,کے مقابلے میں,Phrase used to highlight differences between two entities or situations.,هَذَا جَيِّدٌ بِالمُقَابِلِ لِذَاكَ.,This is good in contrast to that.,— (multiword expression; no single lexical root),"مُقَارَنَةً بِـ, ضِدَّ",2,1.000,,4,1.000,,,structurally_verified
58,فِي غُضُونِ,في غضون,within / during the course of,au cours de / dans l'espace de,کے دوران / کے اندر,Temporal phrase indicating the duration within which an event occurs.,فِي غُضُونِ أُسْبُوعٍ.,Within a week.,— (multiword expression; no single lexical root),"خِلَالَ, فِي مَدَى",2,1.000,,3,1.000,,,structurally_verified
59,بِدُونِ جَدْوَى,بدون جدوى,in vain / to no avail,en vain / inutilement,بے سود / لا حاصل,Phrase indicating that an action was performed but did not achieve the desired result.,حَاوَلْتُ بِدُونِ جَدْوَى.,I tried in vain.,— (multiword expression; no single lexical root),"دُونَ فَائِدَةٍ, عَبَثًا",2,1.000,,3,1.000,,,structurally_verified
60,بِأَيِّ حَالٍ مِنَ الأَحْوَالِ,بأي حال من الأحوال,in any case / by any means (often negative: by no means),de toute façon / en aucun cas,کسی بھی صورت میں,Strong emphatic phrase used to indicate that a statement holds true under all circumstances.,لَا تَفْعَلْ ذَلِكَ بِأَيِّ حَالٍ مِنَ الأَحْوَالِ.,Do not do that by any means.,— (multiword expression; no single lexical root),"قَطْعِيًّا, أَبَدًا",4,1.000,,7,1.000,,,structurally_verified
61,مِنْ نَاحِيَةٍ تَقْنِيَّةٍ,من ناحية تقنية,technically / from a technical standpoint,techniquement / d'un point de vue technique,فنی لحاظ سے,Phrase used to narrow the focus of a discussion to technical details or rules.,هَذَا مُمْكِنٌ مِنْ نَاحِيَةٍ تَقْنِيَّةٍ.,This is possible technically.,— (multiword expression; no single lexical root),"فَنِّيًّا, تِقْنِيًّا",3,1.000,,5,1.000,,,structurally_verified
62,عَلَى حَدِّ قَوْلِهِ,على حد قوله,according to him / as he said,selon lui / comme il l'a dit,اس کے بقول / جیسا کہ اس نے کہا,Phrase used to attribute a statement or an idea to a specific person.,عَلَى حَدِّ قَوْلِهِ، الأَمْرُ سَهْلٌ.,"According to him, the matter is easy.",— (multiword expression; no single lexical root),"كَمَا قَالَ, بِنَاءً عَلَى قَوْلِهِ",3,1.000,,5,1.000,,,structurally_verified
63,بِالمُقَابِلِ لِذَلِكَ,بالمقابل لذلك,in return for that / in exchange for that,en échange de cela / en contrepartie,اس کے بدلے میں,Phrase indicating a response or a trade-off for a previously mentioned action or thing.,أَعْطَيْتُهُ مَالاً، وَبِالمُقَابِلِ لِذَلِكَ سَاعَدَنِي.,"I gave him money, and in return for that, he helped me.",— (multiword expression; no single lexical root),"عِوَضًا عَنْ ذَلِكَ, لِقَاءَ ذَلِكَ",2,1.000,,5,1.000,,,structurally_verified
64,فِي المَقَامِ الأَوَّلِ,في المقام الأول,in the first place / primarily,en premier lieu / d'abord,سب سے پہلے / اولاً,Phrase used to emphasize the most important reason or factor in a situation.,هِيَ أُمٌّ فِي المَقَامِ الأَوَّلِ.,She is a mother in the first place.,— (multiword expression; no single lexical root),"أَوَّلاً, بِالدَّرَجَةِ الأُولَى",3,1.000,,5,1.000,,,structurally_verified
65,بِمَا لَا يَدَعُ مَجَالاً لِلشَّكِّ,بما لا يدع مجالا للشك,beyond any doubt / leaving no room for doubt,sans l'ombre d'un doute / sans équivoque,بغیر کسی شک و شبہ کے,Strong idiomatic expression used to assert that something is absolutely certain.,هُوَ مَذْنِبٌ بِمَا لَا يَدَعُ مَجَالاً لِلشَّكِّ.,He is guilty beyond any doubt.,— (multiword expression; no single lexical root),"تَمَامًا, يَقِينًا",5,1.000,,7,1.000,,,structurally_verified
66,بِغَرَضِ التَّحَقُّقِ,بغرض التحقق,for the purpose of verification / to check,aux fins de vérification / pour vérifier,تصدیق کی غرض سے,Phrase used when an action is performed to ensure the accuracy or truth of something.,اِتَّصَلْتُ بِهِ بِغَرَضِ التَّحَقُّقِ.,I called him for the purpose of verification.,— (multiword expression; no single lexical root),"لِلتَّأَكُدِ, لِلْمُرَاجَعَةِ",2,1.000,,4,1.000,,,structurally_verified
67,عَلَى كَاهِلِهِ,على كاهله,on his shoulders / as his responsibility,sur ses épaules / sous sa responsabilité,اس کے کندھوں پر / اس کی ذمہ داری,Idiomatic expression indicating that someone bears a heavy burden or responsibility.,تَقَعُ المَسْؤُولِيَّةُ عَلَى كَاهِلِهِ.,The responsibility lies on his shoulders.,— (multiword expression; no single lexical root),"فِي عُهْدَتِهِ, مَسْؤُولِيَّتُهُ",2,1.000,,4,1.000,,,structurally_verified
68,بِمَا يَتَمَاشَى مَعَ,بما يتماشى مع,in line with / consistent with,conformément à / en accord avec,کے مطابق / کے ہم آہنگ,Phrase indicating that an action or idea is in harmony or agreement with a set of rules or conditions.,هَذَا بِمَا يَتَمَاشَى مَعَ القَانُونِ.,This is in line with the law.,— (multiword expression; no single lexical root),"وِفْقًا لِـ, حَسْبَ",3,1.000,,5,1.000,,,structurally_verified
69,بِلا اسْتِثْنَاءٍ,بلا استثناء,without exception,sans exception,بلا استثناء,Phrase used to indicate that a statement applies to every single member of a group.,الكُلُّ مَدْعُوُّونَ بِلا اسْتِثْنَاءٍ.,Everyone is invited without exception.,— (multiword expression; no single lexical root),"دُونَ اسْتِثْنَاءٍ, جَمِيعًا",2,1.000,,4,1.000,,,structurally_verified
